FID_,MLinkX,MLinkY,title,type,bikou,date
,139.907832500000010,37.580345277799999,19-16-5,syoukasen, ,2012/01/25 0:00:00
,139.907810000000010,37.578441666700002,19-16-4,syoukasen, ,2012/01/25 0:00:00
,139.909440832999990,37.580164444399998,19-16-2,syoukasen, ,2012/01/25 0:00:00
,139.909656111000000,37.579350555600001,19-16-3,syoukasen, ,2012/01/25 0:00:00
,139.912988055999990,37.580067499999998,19-16-1,syoukasen, ,2012/01/25 0:00:00
,139.914037221999990,37.577988333299999,19-15-5,syoukasen, ,2012/01/25 0:00:00
,139.912252499999990,37.577364722200002,19-15-4,syoukasen, ,2012/01/25 0:00:00
,139.913374721999990,37.577250833299999,19-15-3,syoukasen, ,2012/01/25 0:00:00
,139.914536943999990,37.576545555599999,19-15-2,syoukasen, ,2012/01/25 0:00:00
,139.926284721999990,37.575847222199997,19-13-1,syoukasen, ,2012/01/25 0:00:00
,139.899267221999990,37.571905833300001,19-18-5,syoukasen, ,2012/01/25 0:00:00
,139.898869722000000,37.570743055599998,19-18-4,syoukasen, ,2012/01/25 0:00:00
,139.900065000000010,37.570701388899998,19-18-2,syoukasen, ,2012/01/25 0:00:00
,139.898788610999990,37.569933055600004,19-18-3,syoukasen, ,2012/01/25 0:00:00
,139.900409722000010,37.570054444400000,19-18-1,syoukasen, ,2012/01/25 0:00:00
,139.905264167000010,37.570353611100003,19-17-2,syoukasen, ,2012/01/25 0:00:00
,139.906088333000010,37.568899999999999,19-17-1,syoukasen, ,2012/01/25 0:00:00
,139.910608889000000,37.573789166700003,19-14-1,syoukasen, ,2012/01/25 0:00:00
,139.915301943999990,37.574361388900002,19-15-1,syoukasen, ,2012/01/25 0:00:00
,139.915297221999990,37.568180277800003,19-10-4,syoukasen, ,2012/01/25 0:00:00
,139.916534721999990,37.568121111099998,19-10-3,syoukasen, ,2012/01/25 0:00:00
,139.917657222000000,37.568223055600001,19-10-2,syoukasen, ,2012/01/25 0:00:00
,139.922382778000010,37.572041944399999,19-11-1,syoukasen, ,2012/01/25 0:00:00
,139.922946943999990,37.568501666700001,19-9-1,syoukasen, ,2012/01/25 0:00:00
,139.925269722000000,37.574188055599997,19-12-1,syoukasen, ,2012/01/25 0:00:00
,139.933359443999990,37.572003611100001,19-8-2,syoukasen, ,2012/01/25 0:00:00
,139.933518056000000,37.571060833300002,19-8-1,syoukasen, ,2012/01/25 0:00:00
,139.936253333000000,37.568125555599998,19-7-2,syoukasen, ,2012/01/25 0:00:00
,139.936376943999990,37.567123888899999,19-7-1,syoukasen, ,2012/01/25 0:00:00
,139.945135832999990,37.568508333300002,17-44-4,syoukasen, ,2012/01/25 0:00:00
,139.945399721999990,37.567915277799997,17-44-5,syoukasen, ,2012/01/25 0:00:00
,139.946151111000010,37.567368611100001,17-44-2,syoukasen, ,2012/01/25 0:00:00
,139.945691388999990,37.566795277799997,17-44-1,syoukasen, ,2012/01/25 0:00:00
,139.946188611000000,37.568309444400001,17-44-3,syoukasen, ,2012/01/25 0:00:00
,139.946897221999990,37.567083055600001,17-44-6,syoukasen, ,2012/01/25 0:00:00
,139.947678333000000,37.567502777800001,17-44-7,syoukasen, ,2012/01/25 0:00:00
,139.948210832999990,37.567191388900000,17-45-1,syoukasen, ,2012/01/25 0:00:00
,139.948577500000000,37.567250000000001,17-45-2,syoukasen, ,2012/01/25 0:00:00
,139.948591943999990,37.568215277800000,17-45-4,syoukasen, ,2012/01/25 0:00:00
,139.948980833000010,37.567170555600001,17-45-3,syoukasen, ,2012/01/25 0:00:00
,139.898521667000010,37.563635277800003,19-21-2,syoukasen, ,2012/01/25 0:00:00
,139.900280000000010,37.563645277799999,19-21-1,syoukasen, ,2012/01/25 0:00:00
,139.903454721999990,37.565826111100002,19-19-1,syoukasen, ,2012/01/25 0:00:00
,139.903212778000010,37.562338055600001,19-22-3,syoukasen, ,2012/01/25 0:00:00
